first_name,rating_0,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,rating_11,rating_12,rating_13,rating_14,rating_15,rating_16,rating_17,rating_18,rating_19,rating_20,rating_21,rating_22,rating_23,rating_24
Angelita,,,,,,,,,,,,,,,,,,,,,,,,,
Leland,,1.8,1.9,1.8,,1.5,3.9,3.9,4.5,4.9,,4.5,1.8,1.9,4.3,,2.4,4.2,,4.6,,,,3.8,
Bartholomeus,,,,3.7,,,,,2.3,,3.1,,,2.1,2.2,3.0,,1.6,,3.2,3.7,3.4,,2.4,1.2
Desdemona,,1.9,,4.7,1.8,2.6,2.6,,,2.6,,1.6,1.3,4.5,3.3,,3.8,4.9,,,4.0,1.0,3.5,1.7,1.5
Costanza,,2.1,4.8,1.2,,1.8,,2.0,,,3.1,4.2,4.7,2.7,3.4,2.5,3.1,,3.1,,,,,,4.2
Christan,,1.1,1.0,,,4.3,,,2.1,5.0,3.9,,3.2,1.8,,,3.9,4.0,,3.4,,,,,3.5
Malinde,,4.7,2.1,,,3.2,3.9,,2.7,,3.5,1.4,1.5,,3.3,,3.5,3.7,,4.1,4.5,4.9,4.8,,1.0
Nikolaus,,,4.5,1.6,4.2,,,4.9,3.5,,2.9,2.0,2.6,5.0,3.9,,,5.0,,2.3,3.2,,,4.3,1.2
Myriam,,4.4,4.0,,,,,2.2,2.8,4.5,4.5,,2.0,2.5,,4.5,1.8,1.5,,4.6,4.0,,,1.9,2.0
Anallese,,4.0,4.4,,,4.6,,2.1,1.7,,,3.5,2.4,4.5,4.9,2.2,1.9,2.3,,3.8,4.7,,,4.7,
Loydie,,,1.1,3.9,,1.0,3.7,3.3,2.3,1.5,2.8,,1.0,3.3,,,,4.3,,3.4,2.0,,,2.4,4.1
Carolin,,,2.7,4.6,,2.8,2.8,1.6,3.0,1.5,4.8,,,,2.6,,1.7,,,3.8,2.0,1.3,,1.9,
Bellanca,,2.3,2.7,,2.2,2.0,3.6,3.8,3.8,3.3,3.9,4.7,,1.8,3.3,2.2,1.1,3.6,,2.9,3.1,,,4.1,2.5
Sibilla,,3.9,2.1,,,3.3,,1.6,2.3,2.2,,2.6,1.6,2.9,3.8,4.8,1.6,2.6,,2.3,,1.7,,4.2,4.1
Tad,,,1.2,3.9,,3.7,1.8,3.9,4.6,3.0,3.3,,3.2,1.9,4.0,,,2.1,,1.8,2.5,3.5,,,1.1
Erminie,,,,1.5,,1.4,,3.3,2.6,4.9,,1.6,3.2,2.6,3.1,3.6,,,,4.5,,,,3.7,2.0
Addy,,,,3.7,,4.7,2.0,1.4,1.6,,,2.7,2.8,4.6,3.6,1.3,4.6,1.5,,2.8,,,,3.9,2.9
Davy,,,1.1,1.4,2.6,3.4,3.0,,3.9,2.2,4.2,1.5,4.7,3.6,1.2,2.8,,,2.7,,3.1,4.4,,2.1,4.9
Levon,,,2.3,3.5,,,3.5,3.9,1.6,3.7,1.9,4.6,3.5,3.7,2.9,,1.8,4.4,,1.6,1.8,,,4.1,
Vilma,,,2.8,3.0,,3.4,,2.6,,,1.6,2.0,2.2,3.8,,,2.3,,,,4.4,,,4.0,3.9
Burg,,,1.1,3.4,,,4.2,,2.9,3.9,1.4,2.7,1.1,3.4,2.1,,,1.3,,3.6,4.2,1.8,,3.9,4.5
Rosita,,,,2.4,3.8,4.1,1.6,3.3,,2.8,2.2,4.1,3.7,,3.7,,,4.9,,4.4,1.1,,1.7,,1.2
Wallace,,1.2,1.3,4.0,1.3,3.8,,1.7,2.3,5.0,2.2,3.2,2.3,1.2,4.5,2.3,4.8,3.2,,4.3,1.2,,,1.4,2.8
Cherianne,,4.9,2.2,,,2.7,,3.2,,3.3,2.7,,4.1,,3.5,3.9,1.5,4.5,,2.1,4.8,,,3.6,1.7
Aryn,,3.4,,2.6,,4.5,,1.0,1.0,,1.8,,3.4,3.4,3.5,,4.4,,,,,3.6,,1.8,
Frank,,,,4.4,,2.6,,1.0,2.2,,,4.8,1.9,2.2,3.1,,4.3,2.1,,1.6,,,1.5,,2.4
Edsel,,2.8,3.5,3.1,1.9,3.5,2.1,2.9,3.9,2.9,1.2,3.4,3.8,3.1,2.1,1.7,,1.7,2.4,,3.4,,,3.3,2.4
Blanche,,,,1.0,3.4,1.5,,4.3,2.9,,4.5,,3.3,1.1,3.3,,,3.3,,,4.6,1.5,,4.5,4.4
Bordy,,2.3,,,,2.6,5.0,1.6,2.1,,2.6,3.6,5.0,,3.6,,,,,1.6,4.7,,,3.2,4.0
Britt,,,3.1,1.3,,4.0,2.2,3.1,4.4,1.5,,,3.9,,2.0,4.5,4.9,3.8,,,3.5,,,,
Viola,,,1.1,1.6,,,1.7,4.5,3.4,3.3,4.0,,4.9,,,2.2,2.7,,,4.6,3.2,,1.6,,2.2
Lanna,,3.0,1.8,,,2.5,,1.6,,3.6,1.1,3.7,4.6,4.0,,3.2,,4.4,,4.0,,2.0,,2.8,
Angus,,4.1,3.9,,,3.4,,2.8,2.3,5.0,4.3,3.9,3.0,3.9,4.2,,4.7,3.5,,1.6,1.5,1.8,,1.0,
Siusan,,,3.0,3.1,,,1.5,,3.3,4.8,1.9,3.2,1.5,4.0,3.6,,4.7,,,2.8,1.8,,,,2.6
Wheeler,,,1.3,2.1,,3.8,,3.6,1.1,,2.8,2.7,2.9,1.7,2.7,,3.8,3.0,,4.3,3.8,,,1.8,1.9
Willamina,,,4.0,2.9,,2.1,,3.0,,1.3,1.4,2.3,1.8,3.6,1.1,,4.1,4.1,,,3.5,,3.0,2.0,2.2
Curtice,,,2.6,3.3,,,3.2,2.8,4.9,,2.9,1.6,3.5,4.9,,4.0,1.1,4.2,,2.3,,2.0,,4.8,3.2
Carmelina,,,1.9,2.1,,1.7,,1.5,4.9,4.4,1.8,,,1.7,2.1,4.3,,,,3.7,1.5,4.4,,,2.9
Benedetto,,,1.0,,,2.3,3.2,4.5,2.2,4.5,4.7,2.8,2.6,1.3,,,4.0,1.0,2.7,3.3,3.2,,,1.5,
Pattie,,,1.9,1.6,1.6,2.9,,1.1,5.0,,4.8,4.9,1.4,,1.2,1.4,3.5,,2.1,1.4,,,1.0,2.5,2.5
Lindsay,,,4.9,1.1,3.7,2.8,,4.9,1.3,2.3,4.5,,4.9,1.1,2.6,,2.7,3.1,4.5,4.1,1.6,,4.4,1.6,
Lindie,,,,4.8,3.4,2.2,,,4.7,4.8,5.0,,3.2,4.8,2.8,,2.9,1.7,,4.2,,4.3,,1.0,2.7
Yalonda,,,1.0,3.7,,4.8,1.3,2.6,2.2,1.6,3.0,4.0,1.7,3.3,1.8,,,2.1,,4.4,2.8,4.5,,,3.7
Korie,,4.5,1.2,2.7,,4.5,1.6,3.9,3.9,3.3,,4.1,3.7,,4.0,,2.0,1.2,,1.5,1.6,2.9,2.2,3.0,
Ronnie,,3.2,2.4,1.3,,4.8,2.8,2.9,4.2,2.0,2.0,2.1,1.2,,3.4,4.1,3.1,2.3,4.2,,2.7,3.1,,,2.4
Idelle,,,1.6,3.6,,,4.5,2.2,2.7,3.0,3.1,4.8,,4.1,4.2,2.8,3.1,3.1,,,4.7,,,4.9,1.8
Jacquie,,4.6,2.3,,,,,2.5,1.4,,3.9,3.2,4.5,4.8,3.5,1.8,4.3,2.3,,1.0,4.8,2.2,,4.3,
Nickolas,,,4.0,2.1,,1.6,,4.7,2.3,,,4.5,3.6,4.2,1.0,4.4,4.8,3.0,,1.5,4.5,3.5,3.1,4.0,2.4
Niko,,1.0,4.6,,2.9,4.2,,3.1,1.9,,4.2,4.6,3.2,1.9,2.0,,4.8,2.7,,3.9,2.4,,,3.2,2.5
Bill,2.2,,1.6,4.0,,,,,1.7,4.8,3.0,1.1,2.3,4.0,2.0,,1.7,,,1.7,,2.5,4.5,2.6,
